siren,siret,activitePrincipaleUniteLegale,economieSocialeSolidaireUniteLegale,caractereEmployeurUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsEtablissement,categorieEntreprise,codePostalEtablissement,codeCommuneEtablissement,dateCreationUniteLegale,categorieJuridiqueUniteLegale,etablissementSiege,etatAdministratifUniteLegale,APE_2_code,APE_niv_1,siret_count
341095735,34109573500021,17.12Z,N,O,41,2019.0,ETI,68920.0,68365,1987-05-01,5710,True,A,17,C,1
341152395,34115239500032,80.10Z,N,O,51,2019.0,GE,93400.0,93070,1987-05-05,5710,True,A,80,N,34
341192227,34119222700013,46.17A,N,O,41,,GE,75015.0,75115,1987-01-01,5710,True,A,46,G,55
341434108,34143410800054,46.39B,N,O,41,2019.0,GE,45120.0,45068,1987-05-15,5710,True,A,46,G,16
341459386,34145938600213,26.11Z,N,O,42,2019.0,GE,92120.0,92049,1987-05-15,5599,True,A,26,C,21
341737062,34173706200024,65.11Z,N,O,51,2019.0,GE,75015.0,75115,1987-07-01,5599,True,A,65,K,94
341785632,34178563200108,65.11Z,N,O,42,2019.0,GE,92300.0,92044,1987-07-06,5599,True,A,65,K,11
341907236,34190723600242,73.12Z,N,O,12,2019.0,PME,93100.0,93048,1987-07-28,5710,True,A,73,M,38
341972156,34197215600119,41.20B,N,O,32,,GE,78140.0,78640,1987-06-15,5710,True,A,41,F,10
341975449,34197544900065,70.22Z,,O,NN,,PME,38500.0,38563,1987-07-01,1000,True,A,70,M,3
342048055,34204805500012,10.13A,N,O,32,2019.0,GE,29170.0,29247,1987-01-01,5710,True,A,10,C,2
342404399,34240439903453,61.20Z,N,O,42,,ETI,92120.0,92049,1987-06-04,5710,True,A,61,J,326
342448222,34244822200014,49.41A,N,O,22,2019.0,PME,63800.0,63124,1987-10-01,5499,True,A,49,H,2
342547361,34254736100333,46.49Z,N,O,41,,GE,75007.0,75107,1987-09-28,5710,True,A,46,G,32
342786837,34278683700027,46.17A,N,O,41,2019.0,ETI,89200.0,89025,1987-10-13,5710,True,A,46,G,11
343008231,34300823100122,39.00Z,,N,NN,,,37420.0,37011,1987-11-01,5710,True,C,39,E,17
343043360,34304336000183,43.99D,N,O,41,2019.0,GE,31300.0,31555,1987-12-01,5710,True,A,43,F,17
343056958,34305695800048,33.20B,N,O,41,2019.0,ETI,44470.0,44026,1987-10-08,5710,True,A,33,C,53
343059564,34305956400959,61.20Z,N,O,52,,GE,75015.0,75115,1987-07-31,5599,True,A,61,J,106
343234142,34323414200408,96.01A,N,O,51,2019.0,ETI,92100.0,92012,1987-10-28,5710,True,A,96,S,141
343262622,34326262218927,47.11D,N,O,53,2019.0,GE,94150.0,94065,1987-12-17,5202,True,A,47,G,2540
343403531,34340353103351,38.11Z,N,O,51,,GE,75008.0,75108,1988-01-08,5710,True,A,38,E,343
343488508,34348850800924,38.21Z,N,O,42,2019.0,GE,69009.0,69389,1987-11-06,5710,True,A,38,E,97
343958138,34395813800012,46.66Z,N,O,41,2019.0,ETI,91140.0,91661,1988-02-19,5710,True,A,46,G,12
343979092,34397909200040,20.20Z,N,O,41,,ETI,69130.0,69081,1987-12-07,5710,True,A,20,C,4
344026075,34402607500087,47.99A,N,O,32,2019.0,ETI,56200.0,56061,1988-03-15,5499,True,A,47,G,24
344103270,34410327000023,47.71Z,N,O,51,2019.0,GE,59510.0,59299,1987-07-20,5710,True,A,47,G,321
344122262,34412226200183,62.02A,N,O,42,2019.0,ETI,92200.0,92051,1988-02-15,5599,True,A,62,J,26
344307384,34430738400547,52.29B,N,O,42,2019.0,GE,93420.0,93078,1988-01-21,5710,True,A,52,H,71
344347232,34434723200029,21.10Z,N,O,41,2019.0,GE,76210.0,76114,1988-03-18,5710,True,A,21,C,3
344496252,34449625200026,62.01Z,N,O,51,2019.0,ETI,6410.0,06018,1988-02-25,5710,True,A,62,J,3
344770870,34477087000014,10.89Z,N,O,22,2019.0,ETI,76000.0,76540,1988-04-25,5710,True,A,10,C,7
344844998,34484499800023,29.32Z,N,O,42,2019.0,ETI,1410.0,01081,1988-05-04,5699,True,A,29,C,20
345086177,34508617702461,47.71Z,N,O,51,2019.0,ETI,59100.0,59512,1988-01-01,5710,True,A,47,G,812
345130488,34513048800017,47.11D,N,O,NN,,,14120.0,14437,1988-06-02,5710,True,A,47,G,2453
345197552,34519755200358,68.20B,N,O,NN,,GE,59100.0,59512,1988-03-18,5710,True,A,68,L,35
345351183,34535118300578,33.12Z,N,O,41,2019.0,ETI,92350.0,92060,1988-03-21,5710,True,A,33,C,58
347384570,34738457002017,47.54Z,N,O,52,2019.0,GE,59810.0,59343,1988-03-24,5599,True,A,47,G,292
347410011,34741001100063,73.11Z,N,O,32,,GE,47300.0,47323,1988-06-01,5710,True,A,73,M,21
347570350,34757035000038,10.51C,N,O,41,2019.0,GE,44150.0,44003,1988-07-01,5710,True,A,10,C,4
347806002,34780600200023,59.14Z,N,O,41,2019.0,ETI,92200.0,92051,1988-08-11,5710,True,A,59,J,64
347848947,34784894700037,62.02A,N,O,22,2019.0,PME,93160.0,93051,1988-07-20,5710,True,A,62,J,5
347902587,34790258700018,10.20Z,N,O,42,2019.0,ETI,40230.0,40261,1988-07-01,5710,True,C,10,C,11
347989808,34798980800568,62.02A,N,O,42,2019.0,ETI,92100.0,92012,1988-09-09,5599,True,A,62,J,67
