NbEntrp,FraisPersonnel,Salaries_tps_plein,CA_exportation,CA_hors_taxe,EBE,VA_et_autres_prdts_charges,ResultatNetComptable,CapaciteAutofinancement,ResultatCourantAvantImpots,InvestCorporelsBrutsHorsApports,annee,SecteurDActivite
11575.0,3116.4,63670.0,2431.0,20901.4,2729.2,6156.0,1342.3,2298.6,1203.4,4414.5,2011,E 
493374.2727272727,52871.01100000001,1021672.2,2769.003,205404.63000000003,13085.880000000001,68131.403,8920.619999999999,12160.269999999999,10428.396000000002,6327.352222222222,2011,F 
681968.0,84268.5,1689361.0,99942.3,925697.5,33770.899999999994,129384.9,21363.4,28514.0,26598.0,10744.2,2011,G 
92886.0,20249.7,431209.0,10748.9,79322.7,4273.4,25351.9,865.1,-138.0,1700.9,5200.700000000001,2011,H 
245796.0,21961.0,564629.0,468.1,67952.5,7284.3,30547.600000000002,3601.3,6630.900000000001,3360.4,5208.0,2011,I 
108271.0,21400.699999999997,285525.0,8421.5,68500.1,7526.1,29478.9,2628.1000000000004,7855.6,3063.8,2129.8,2011,J 
71652.0,8639.900000000001,86706.0,3795.5,29032.0,4387.4,13861.400000000001,28731.5,36074.0,30394.300000000003,2222.7,2011,K 
153660.0,8990.7,152252.0,569.8,64317.7,22820.4,35517.4,14967.7,21767.5,12331.900000000001,27684.1,2011,L 
414236.0,55313.1,699097.0,16718.0,163229.7,20925.5,77582.1,81081.6,82535.0,68885.6,7816.3,2011,M 
166826.0,28159.300000000003,462146.0,9651.1,92877.5,12805.8,42005.9,18013.2,19422.399999999998,7461.6,14273.4,2011,N 
84184.0,2093.5,84824.0,310.6,6193.8,760.9,2909.5,1859.5,729.4,1876.3,462.4,2011,P 
379207.0,22257.899999999998,323905.0,146.2,68143.5,24053.7,48768.899999999994,22067.7,23370.399999999998,22465.5,1456.2,2011,Q 
75652.0,4446.2,74568.0,385.8,12775.400000000001,966.1,4973.9,627.1,841.5,488.2,1082.5,2011,R 
195604.0,7790.5,197883.0,407.9,20826.0,2017.3,9924.3,1176.3000000000002,2099.1,1117.5,758.6,2011,S 
5633.0,223.29999999999998,4335.0,134.7,1326.1,109.7,341.59999999999997,52.0,114.3,32.0,91.82875,2012,A 
1706.0,797.1999999999999,13940.0,408.20000000000005,4968.9,708.1999999999999,1654.3999999999999,7397.7,8041.700000000001,7926.299999999999,623.5,2012,B 
216376.0,69641.1,1416810.0,76161.2,339024.5,17570.6,92281.8,8349.9,14276.3,11063.3,11311.2,2012,C 
18533.0,577.1,7510.0,1665.6000000000001,17812.2,2891.6000000000004,3696.0,-30.700000000000045,2032.9,30.000000000000057,6834.0,2012,D 
13408.0,3369.2000000000003,70870.0,2458.1,21146.6,2369.0,6154.799999999999,1078.7,2118.2,1171.8000000000002,3339.2,2012,E 
512557.0,57358.9,1118949.0,2294.7000000000003,228331.5,14245.900000000001,74052.1,9883.5,14455.0,10816.7,6545.3,2012,F 
709267.0,85769.70000000001,1723117.0,98734.7,947597.6000000001,30049.1,127273.7,19210.199999999997,25173.7,24930.199999999997,11810.7,2012,G 
98230.0,21174.7,445294.0,11121.0,82599.29999999999,4662.7,26965.2,1206.4,1050.3,1651.3,2725.2,2012,H 
252502.0,22955.9,602029.0,539.6,69812.2,4143.4,28789.5,1842.1999999999998,3535.8,1670.8000000000002,5546.4,2012,I 
125324.0,22238.3,289529.0,8867.0,69642.79999999999,7357.200000000001,30216.0,2428.5,7226.5,3495.2,1778.5,2012,J 
85253.0,9366.1,98025.0,3420.3999999999996,29797.8,4113.5,14404.3,10952.0,31542.9,9484.6,2046.3999999999999,2012,K 
227477.0,9004.5,154749.0,758.2,66210.6,20848.1,34342.8,13092.0,499.1,10403.900000000001,503.8,2012,L 
470677.0,57677.0,730256.0,18069.4,163718.3,17144.4,76349.7,63885.2,65669.90000000001,61476.899999999994,4242.8,2012,M 
191509.0,29820.3,486532.0,9691.1,95755.4,11950.199999999999,42949.100000000006,6607.7,13861.7,5269.299999999999,3053.9,2012,N 
112418.0,4597.5,82190.0,544.2,11735.5,1092.4,5812.799999999999,1956.2,1037.922,2079.2000000000003,614.698,2012,P 
400412.0,22761.899999999998,328679.0,122.60000000000001,69285.79999999999,23715.4,49706.2,22134.600000000002,23027.8,22691.1,1332.6,2012,Q 
200725.0,4926.0,75866.0,381.1,15203.9,1651.1,6511.0,891.9,49.2,746.5,576.9,2012,R 
223987.0,7620.5,195635.0,379.70000000000005,20900.0,1970.6,9838.2,1251.5,146.5,1312.3,166.9,2012,S 
