annee,NbEntrp,Activite,SecteurDActivite,FraisPersonnel,Salaries_tps_plein,CA_exportation,CA_hors_taxe,EBE,VA_et_autres_prdts_charges,ResultatNetComptable,CapaciteAutofinancement,ResultatCourantAvantImpots,InvestCorporelsBrutsHorsApports
2011,11659.0,"Production et distribution d'eau - assainissement, gestion des déchets et dépollution ",E ,7073.7,136569.0,3596.5,37963.7,3761.9,11833.9,2741.3,3807.2,2827.3,5428.7
2011,464125.0,Construction ,F ,70686.2,1346751.0,4671.7,272077.5,16963.7,90771.0,13833.2,17794.1,16610.5,8864.5
2011,682805.0,Commerce - réparation d'automobiles et de motocycles ,G ,127932.0,2626888.0,140446.2,1391503.2,46905.1,203433.8,29134.2,41552.1,40161.2,17891.1
2011,93230.0,Transports et entreposage ,H ,58980.9,1153007.0,42169.5,199024.2,18637.8,80623.1,4206.6,12949.2,6272.3,23711.7
2011,245917.0,Hébergement et restauration ,I ,28197.9,724898.0,1760.6,84816.9,8143.3,38059.3,4229.8,7687.7,4080.7,5856.2
2011,108546.0,Information et communication ,J ,48789.7,659288.0,16853.8,181340.9,29182.3,81532.3,13158.5,29223.4,17176.4,15638.1
2011,71697.0,Activités auxiliaires de services financiers et d'assurance ,K ,10891.8,116793.0,5493.6,38052.7,5170.1,17153.2,31825.3,39200.7,32349.2,2313.7
2011,153755.0,Activités immobilières ,L ,11429.9,201319.0,582.9,78082.7,27537.1,44102.4,16742.5,25231.7,13179.8,36852.3
2011,414601.0,"Activités spécialisées, scientifiques et techniques ",M ,75652.1,963094.0,35787.1,218783.5,20618.6,98749.8,94253.0,99031.2,80598.0,8531.5
2011,167226.0,Activités de services administratifs et de soutien ,N ,56173.1,850119.0,12276.2,138958.0,15206.5,73884.6,19293.3,22750.5,9190.7,17544.4
2011,84208.0,Enseignement ,P ,4986.5,100513.0,648.3,12537.3,1127.1,6143.0,2053.5,1021.0,2101.4,499.3
2011,379437.0,Santé humaine et action sociale ,Q ,27314.1,473429.0,204.9,77667.3,23941.4,54104.8,22335.0,23140.4,22784.2,2018.0
