Sales_of_manufactured_products__Goods,Operating_Profit,Cashflow__Turnover_,Working_Capital__Turnover_days,Working_Capital_Needs__Turnover_,Export_,Added_Value_per_Employee_thousands,Capital_Employed__Fixed_Assets,Stock_Turnover_days,Collection_Period_days,NET_FINANC_PROFIT_LOSS_V__VI,Tang_and_Intang_Assets_Turnover,Profitloss_before_tax,Current_Assets_Turnover,NET_EXTR_PROFIT_LOSS_VIIVIII,Total_Assets_Turnover,Turnover_per_Employee_thousands,Interest__Turnover_,Production_Investment_Ratio_,PROFIT_LOSS_FOR_THE_PERIOD,Operating_Profit_Margin_,Current_ratio,Debt_Period_days,Profit_Margin_,Financial_Debt__Equity_,Liquidity_Ratio,Financial_Debt__Cashflow,Net_accounts_receivable,Net_turnover_related_to_exports,Activite_secteur,Added_value,annee_secteur,Annual_stock_valuation,APE_niv_1,assessment_id,Average_number_of_employees,Average_remuneration_per_year,Bank,CA_exportation_secteur,CA_hors_taxe_secteur,CapaciteAutofinancement_secteur,caractereEmployeurUniteLegale,Cash_flow,categorieJuridiqueUniteLegale,CH4_secteur,classe,CO2_secteur,CO2e_secteur,codeCommuneEtablissement,codePostalEtablissement,Collection_period_days,Complete_accounts,Corporate_group__by_level,Cost_of_employees__Turnover_,Country,Credit_period_days,Current_ratio_x,Current_stock_valuation,Depreciation,description_ape_secteur,Dividend_revenues_5,Duree_Activite,EBE_secteur,EBIT_margin_,EBITDA_margin_,economieSocialeSolidaireUniteLegale,eges_secteur,EllisphereBvD_ratios,European_ratios,Financial_assets__Sales,Financial_debts,Financial_revenues,FraisPersonnel_secteur,Gaz_fluores_secteur,Gearing_,HFC_secteur,Intercompany_payables__Gross_total,InvestCorporelsBrutsHorsApports_secteur,Investment_grants,Last_closing_date,Legal_category,Liabilities,Market_Scope,N2O_secteur,NbEntrp_secteur,Net_assets_turnover_x,Net_cash,Net_current_assets,Net_fixed_assets,Net_Profit_Margin_,Net_sales,Net_stock,NetTurnover,No_of_companies_in_corporate_group,No_of_recorded_shareholders,No_of_recorded_subsidiaries,No_of_secondary_establishments,Number_of_years_of_accounts,Op_Revenu_m_EUR,Operating_cash_flow,Operating_profit,Other_intangible_assets__Amount_at_start_of_period,PFC_secteur,Profit_loss_before_tax,Profit_loss_for_the_period,Profit_loss_for_the_year,Profit_margin_,Profit_per_employee,Provisions,Purch_of_goods_inclimpduties,Purchases_goods_raw_mater_and_oth,Purchases_of_goods,Purchases_of_raw_material,reporting_year,Reserves,ResultatCourantAvantImpots_secteur,ResultatNetComptable_secteur,Return_on_capital_employed_,Return_on_shareholders_funds_,Return_on_total_assets_,Salaries_and_benefits__Gross_total,Salaries_tps_plein_secteur,Sales_of_goods,Sales_of_manufactured_products__Services,secteur_secteur,SecteurDActivite_secteur,SF6_secteur,Share_capital,Shareholders_funds,Shareholders_funds_per_employee,Shareholders_liquidity_ratio_x,siret_count,Solvency_ratio_,stock_Data,Stock_turnover_x,Tangible_fixed_assets__Amount_at_start_of_period,Taxes,Total__Gross_total,Total_assets_per_employee,TOTAL_CHARGES_II__IV__VI__VIII__IX__X,TOTAL_LIABILITIES_AND_SHARE_CAPITAL,TOTAL_OPERATING_EXPENSES_4___II,TOTAL_OPERATING_REVENUES_2_I,TOTAL_PROV_FOR_LIAB_AND_CHIII,Total_provisions__Amount_at_end_of_period,Total_provisions__Amount_at_start_of_period,TOTAL_REVENUES_I__III__V__VII,total_scope_1,total_scope_2,total_scope_3,TOTAL_SHAREHOLDERS_FUNDS_I,TotalAsset,Transfers_of_charges,Turnover_per_employee,Type_of_business,VA_et_autres_prdts_charges_secteur,VAT,Wages_and_salaries,Working_capital,Working_capital_per_employee,Departement
0.0,7114225.4,2.857,45.874999999999986,36.53,0.101,61.51817140000001,1.952,0.0,56.604,293395.99999999994,1.4287999999999998,6552945.599999995,1.4414,-712.2070000000018,0.46900000000000003,142.0641996,0.014999999999999998,0.23100000000000087,5247248.999999998,4.244,1.534,86.043,3.7019999999999986,1.141000000000001,1.534,0.0,45693390.599999994,5304422.0,Activités de services administratifs et de soutien ,122317281.00000003,2018.0,1100.8,N,4327.0,1438.8,35.23557520000001,1155.0,13056.7,154125.7,14348.2,Oui,6740235.799999993,5710.0,58.86348204861046,GE,23.10623281342317,30.038249012818955,69266,69100.0,67.30499999999999,79.8,1169.0,42.021,FR,0.0,1.526,1094.8,8654510.0,ACTIVITÉS DE SERVICES ADMINISTRATIFS ET DE SOUTIEN,18043.8,48.99999999999999,13080.4,3.274,3.4359999999999995,Non,5.6422706223691685,1001.8000000000001,1048.8,107898.80000000002,42673.999999999905,593098.8,69127.9,6716.416664116027,1.562,6684.751032604727,0.0,17404.5,0.0,23.0,13.0,82701921.59999998,National,156.73605323114603,201304.0,4.96,-3381169.0000000014,95091498.4,388837457.0,3.6970000000000005,247763823.8,0.0,247763823.8,439.0,1.0,13.999999999999998,32.6,26.0,0.4999999999999693,8966941.200000003,7114225.4,6132952.199999998,6.232591135881989,6552945.599999995,5247248.999999998,5247248.999999998,3.703,4.800373399999996,48165126.0,0.0,0.0,0.0,0.0,2018,32770215.000000004,6695.9,5709.5,18.446000000000005,18.370000000000005,8.397,0.0,951395.0,0.0,144967407.4,tertiaire,N,25.43304037541828,89471753.0,51742403.40000003,38.8759256,5.192599999999999,31.399999999999995,43.629,1076.8,43.72859999999999,51586000.0,34295619.99999999,49960391.199999996,85.59376639999999,264828458.99999997,160833979.4,261022417.6,268136643.40000004,48165126.0,48165000.0,63191000.0,270075708.2,6014.0,364.0,13.8,51742403.40000003,160833979.8,104316.0,142.0641996,Manufacturer,85075.5,0.0,49132417.400000006,18990465.399999987,15.297792000000005,59.0
0.0,-2278354.000000001,0.36899999999999933,-29.676000000000002,23.971,23.683,70.46485959999998,0.8160000000000001,4.289000000000001,10.817,1154003.0000000002,0.961,-1124351.0000000014,1.3079999999999998,-34833.39999999999,0.424,141.11695739999996,0.209,6.175000000000002,2325434.999999999,-0.4399999999999994,0.6849999999999999,129.572,-0.6820000000000002,67.093,0.6500000000000001,5.894999999999998,5227935.0,39007741.0,Transports et entreposage ,49965648.00000001,2017.0,1104.0,H,3708.0,1600.0,35.6119332,1180.0,44645.9,214834.7,17105.0,Oui,608727.0000000007,5710.0,154.18683853651342,GE,138.83225807659704,133.97379544535545,67482,67000.0,11.585,83.0,1199.0,29.065000000000005,FR,24.046,0.7390000000000001,1098.0,2010468.0,TRANSPORTS ET ENTREPOSAGE,825000.0,41.0,21562.3,-1.3729999999999998,-0.16099999999999948,Non,281.0557002968633,1005.0,1052.0,293333.0,3588675.0000000005,1853364.0,65280.9,3391.1841436691984,42.904,3391.1841436691984,361846.6,24627.1,0.0,23.0,13.0,59281035.00000001,International,1313.0916490358911,113403.0,5.3378000000000005,2304352.999999999,38199812.0,26297022.000000004,1.4109999999999994,164704492.0,1962573.0,164704492.0,16.0,1.0,16.0,5.0,26.0,134.91,-724771.0000000008,-2278354.000000001,5341728.0,0.0,-1124351.0000000014,2325434.999999999,2325434.999999999,-0.6819999999999997,4.047076199999996,3291932.0,11316473.0,41761173.0,11316473.0,30444700.0,2017,1381041.9999999946,9639.5,10287.0,-6.819000000000001,-12.313,-1.643000000000001,9994616.0,1212528.0,3901909.0,160802583.0,transport,H,0.0,2000000.0,5839148.999999999,29.756361800000004,1.0439999999999998,6.0,8.535000000000002,1080.0,83.922,51737496.0,16960867.0,39174478.0,82.69138819999999,170436358.99999997,68413102.0,168206550.0,165928195.99999997,3291932.0,4788906.0,5045865.0,172761794.0,7186.2942,158.0,1086.6,5839148.999999999,68413102.0,0.0,141.11695739999996,Manufacturer,90475.9,3683100.0,35954873.0,-13577266.000000004,21.750185000000013,57.0
368998755.0,13825047.0,8.575000000000003,73.10999999999999,37.909,15.152600000000001,75.96976500000001,1.119,86.643,35.22500000000001,675262.0,0.2069999999999999,20233510.0,0.5359999999999999,12263.309199999894,0.09800000000000002,195.89514979999998,0.0832,8.6868,17565174.0,6.690999999999999,2.117,300.15,5.051000000000001,105.075,0.805,-0.057599999999999714,46860718.0,18439539.199999996,Industrie manufacturière ,82178533.00000001,2019.0,1101.0,C,5633.0,749.0,40.5801466,1172.0,461330.48,1065818.39,90980.44,Oui,34351418.0,5710.0,258.9468163016938,GE,81.82537509332676,74.1749143323012,40088,40100.0,42.714,80.0,1187.0,12.72,Hors_FR,47.902,2.028,1095.0,15883888.0,INDUSTRIE MANUFACTURIÈRE,1282683.0,64.0,66498.22,3.8420000000000005,8.257000000000001,Non,168.33420099980626,1002.0,1049.0,0.0,12594678.200000003,1862288.1999999997,184173.9,5540.440797892819,105.034,3535.639811990988,0.0,38177.02,0.0,23.0,13.0,333855626.0,International,994.083162090973,209395.0,0.784,1940517.0000000012,153315129.0,48600558.0,4.385000000000001,400426348.0,3133862.3705999996,400426348.0,98.0,2.0,10.000000000000002,4.0,24.0,1203.2359999999999,26804226.999999996,13825047.0,0.0,1810.7095920034967,20233510.0,17565174.0,17565174.0,5.052,-4.299649399999999,96534.0,36597882.0,266537997.99999997,36597882.0,21130707.999999996,2019,138092630.99999997,76611.82,63045.63,5.566,8.127999999999998,3.4289999999999985,0.0,2740094.0,24142282.0,7285311.0,indus_manu,C,183.8007623663333,19961200.0,248808843.99999997,116.32468120000003,0.951000000000001,5.0,42.168000000000006,1077.0,4.216,0.0,13541844.0,0.0,174.05427360000002,364231457.0,590037727.0,345970979.0,359796027.0,96534.0,0.0,0.0,381796631.0,22205.688,3070.068,0.0,248808843.99999997,590037727.0,406409.0,195.89514979999998,Subcontractor,268176.05,0.0,35227742.0,81320972.99999999,40.45680000000001,34.0
170451900.0,8094010.000000001,5.711,7.486000000000007,41.812,0.137,65.718576,1.019,30.344,73.751,134999.99999999997,0.33300000000000013,8229009.999999998,0.6980000000000001,-66558.07999999984,0.21100000000000002,195.949016,0.537,10.321999999999997,4322795.999999999,8.01,1.035,203.916,3.6290000000000004,37.37599999999999,0.8620000000000001,1.8010000000000004,52211901.00000001,310920.0,Industrie manufacturière ,76036393.0,2015.0,1103.0,C,1558.0,1157.0,31.935388,1171.0,326931.1,862822.0,53125.6,Oui,12949654.000000004,5710.0,283.0631436766557,GE,84.33332880894328,75.63613091892334,84007,84000.0,84.059,82.0,1187.0,23.0,FR,69.336,0.8730000000000001,1097.0,11636687.0,INDUSTRIE MANUFACTURIÈRE,972692.0,52.00000000000001,53067.8,3.4829999999999988,8.491,Non,173.98566161852662,1004.0,1051.0,632131.0,23325831.0,1353605.0,155074.2,6173.32936278212,33.92,4308.2896324355725,0.0,30031.6,0.0,10.0,13.0,128417972.0,National,1386.4800214191105,213303.0,3.171,14997626.999999998,108852204.0,87427285.0,1.9060000000000004,226713012.0,18191484.0,226713012.0,14.0,2.0,11.0,36.0,26.0,305.64,18161798.0,8094010.000000001,13747558.000000002,1591.1125242092664,8229009.999999998,4322795.999999999,4322795.999999999,3.629000000000001,7.112367999999998,6362292.0,25593799.0,88782139.0,25593799.0,63188340.00000001,2015,3064433.9999999925,47910.3,35874.6,13.216000000000003,11.957000000000003,4.172000000000001,4281601.0,2623378.0,50178374.0,6082738.0,indus_manu,C,267.6933994732796,24583860.000000004,62454108.0,59.478304999999985,6.917,37.0,31.664,1079.0,12.462,199804328.00000003,14267358.0,128419344.99999999,170.47168899999997,234681001.0,197235745.0,224274987.0,232368996.0,6362292.0,45744134.0,47739531.0,239003797.0,12078.573,1639.529,0.0,62454108.0,197235745.0,272931.00000000006,195.949016,Subcontractor,223324.9,2760064.0,36949245.0,4714946.000000001,23.626723,74.0
254851717.0,8843418.0,5.893999999999998,-1.7569999999999997,23.616,4.061999999999999,106.19854300000002,0.994,31.373,40.26500000000001,24906.999999999894,0.25399999999999995,8868326.0,0.9819999999999998,-964271.0,0.2,457.594368,0.0,6.903800000000004,5107207.999999999,7.151,0.9780000000000001,141.767,3.400000000000001,98.92919999999998,0.6510000000000001,2.585000000000001,34891280.0,10596154.0,Industrie manufacturière ,60533170.00000001,2018.0,1103.0,C,3889.0,570.0,46.151007,1144.0,452004.6,1049937.6,75366.7,Oui,15375056.999999998,5710.0,270.0030055343447,GE,84.65350153628825,76.408604491054,03094,3300.0,48.826,82.0,1158.0,14.494,FR,60.997,0.9779999999999999,1097.0,10059004.0,INDUSTRIE MANUFACTURIÈRE,0.0,62.00000000000001,60695.9,3.315000000000001,7.166999999999998,Non,174.40608643953357,1004.0,1051.0,0.0,39745142.0,25619.000000000007,180352.0,5939.56112502345,36.2766,3711.498771456756,0.0,37861.3,120940.99999999999,23.0,13.0,102714069.0,National,1194.8551566100546,203008.0,3.98,96206.0,61639959.0,66894936.0,1.9579999999999993,260828790.0,20595923.0,260828790.0,381.99999999999994,2.0,0.0,1.0,26.0,1176.032,18653546.0,8843418.0,0.0,1998.2504719354008,8868326.0,5107207.999999999,5107207.999999999,3.4000000000000004,15.558465999999996,2648813.0,2274931.0000000005,160021899.0,2274931.0000000005,157746968.0,2018,9985783.999999998,62280.1,52959.8,13.534999999999997,34.4,6.895000000000001,0.0,2728508.0,0.0,5977072.0,indus_manu,C,217.56120437129536,185585.0,23130820.999999993,40.580386999999995,0.545,2.0,17.985000000000003,1079.0,12.664,0.0,14740323.0,0.0,225.62393799999998,262593135.00000003,128605645.0,257850246.0,266693665.00000003,2648813.0,0.0,0.0,267700343.99999997,207.0,0.1,0.0,23130820.999999993,128605645.0,0.0,457.594368,Subcontractor,258777.3,0.0,26306074.0,-1273339.9999999972,20.873803000000002,2.0
58533696.0,7824207.000000001,7.896000000000001,16.624000000000006,37.91399999999999,0.0,66.12071300000001,1.065,12.021,88.81899999999999,258032.0000000005,0.7410000000000001,12243007.0,1.3329999999999997,112359.80000000005,0.449,134.042275,0.8220000000000002,9.208799999999997,10967460.000000002,6.993000000000002,1.664,126.234,10.782,26.945,1.54,1.625,32983697.000000004,0.0,Activités de services administratifs et de soutien ,56004244.0,2015.0,1104.0,N,1761.0,846.9999999999999,37.76016499999999,1168.0,13299.1,147238.2,15766.5,Oui,8966244.0,5599.0,60.92233190835402,GE,24.075615926592068,32.346289201725966,69040,69410.0,106.039,83.0,1183.0,40.133,FR,33.54,0.8210000000000001,1098.0,528313.0,ACTIVITÉS DE SERVICES ADMINISTRATIFS ET DE SOUTIEN,9811.399999999996,30.0,15732.2,6.761,7.216999999999998,Non,5.939807175202167,1005.0,1052.0,0.0,14577712.0,5408489.0,58487.5,8049.165561826757,1.313,8019.948057493333,385000.00000000006,19330.5,0.0,23.0,10.0,39810674.0,National,160.585381398785,195621.0,1.8880000000000001,2975.000000000759,41990393.00000001,69460874.0,9.658000000000001,113533807.0,3121579.0,113533807.0,1.424,2.0,2.0,49.0,26.0,7.580000000000009,7940844.000000004,7824207.000000001,0.0,2.271841135881989,12243007.0,10967460.000000002,10967460.000000002,10.783000000000001,14.454553000000006,6024498.0,0.0,16580171.0,0.0,16580171.000000002,2015,42000685.99999999,14564.1,6890.4,21.914,20.361999999999995,10.880999999999998,4371873.0,922968.0,0.0,55000111.0,tertiaire,N,26.945663197541588,1133484.0,54101631.99999999,70.987166,8.980000000000002,42.0,48.08599999999999,1080.0,36.37,0.0,14429735.0,52382967.0,132.832469,112403499.00000001,112509102.0,107897877.99999999,115722084.00000001,6024498.0,0.0,0.0,123370957.0,4358.6,141.0,0.0,54101631.99999999,112509100.0,0.0,134.042275,Undefined,76819.3,1483846.0,31982860.0,5242968.0000000065,30.309996999999992,59.0
0.0,4556726.999999998,2.2439999999999998,134.74299999999997,64.428,0.0,73.07152800000001,1.151,0.0,28.02,35.00000000018793,2.289,4556763.000000002,1.1299999999999997,-5644.921000000039,0.22900000000000006,101.450486,0.0,0.0,-1247734.9999999995,4.037,2.359,99.291,4.427999999999998,0.2610000000000066,2.359,0.25800000000000023,9576269.0,0.0,Transports et entreposage ,74094529.99999999,2018.0,1102.0,H,5917.0,1013.9999999999999,45.02249699999999,1138.0,44063.8,216824.9,15297.5,Oui,2309628.0000000005,5710.0,153.80326632419963,GE,135.87278529099655,131.34514188300955,69387,69007.0,33.977,80.99999999999999,1152.0,64.644,FR,0.024,1.3428,1096.0,1059091.0,TRANSPORTS ET ENTREPOSAGE,0.0,45.00000000000001,19160.5,4.294,5.292000000000002,Non,274.8511476655701,1003.0000000000001,1050.0,0.0,598122.0000000001,829.0000000000014,65539.2,3105.577083576978,0.0,3105.577083576978,594.0,24780.0,0.0,15.0,20.0,28372646.0,International,1268.263058085868,134457.0,0.43300000000000016,0.0,65533239.0,199527403.0,-1.2120000000000004,102870793.0,0.0,102870793.0,202.638,2.0,3.0,12.000000000000002,26.0,0.5400000000000188,4154404.9999999977,4556726.999999998,3281.9999999999995,0.0,4556763.000000002,-1247734.9999999995,-1247734.9999999995,4.429000000000001,4.493849000000002,8840645.0,0.0,0.0,0.0,0.0,2018,31382484.999999996,8040.1,7528.8,1.9190000000000025,1.9189999999999998,1.7139999999999997,9464.0,1202958.0,0.0,102870793.0,transport,H,0.0,36714765.6,228591749.99999997,234.154235,7.055199999999998,6.000000000000001,85.99900000000001,1078.0,17.170000000000005,9214.0,20929645.0,28372.0,262.13515,108303614.00000001,265805043.0,101559104.0,106115832.0,8840645.0,14994.99999999996,10245.0,107055879.0,2439.0774,1231.0,505.44,228591749.99999997,265805043.0,0.0,101.450486,Manufacturer,88496.8,1130.0,45652812.0,38503114.00000001,9.437344999999997,59.0
352372.0,1612204.0000000014,1.0290000000000001,50.898,49.786,23.939,79.44821379999999,1.1605999999999999,9.056,119.357,-178624.00000000017,0.4174,1433580.0,0.539,75989.99999999999,0.451,220.40772199999998,0.08799999999999998,15.936599999999999,2172199.9999999995,0.4579999999999996,1.833,130.554,1.0090000000000003,77.15199999999997,1.755,1.0575999999999992,55903324.00000001,33942918.0,Industrie manufacturière ,40323562.0,2017.0,1102.0,C,3157.0,1200.0,39.391562,1176.0,432788.1,1022956.6,76626.9,Oui,1460928.9999999986,5710.0,275.4520649824304,GE,85.27404647323458,75.87777815341198,69027,69530.0,143.909,80.99999999999999,1191.0,26.974,FR,60.437999999999995,1.368,1096.0,1214356.0,INDUSTRIE MANUFACTURIÈRE,258000.0,46.00000000000001,64726.1,1.1180000000000003,1.9600000000000004,Non,176.198941319901,1003.0000000000001,1050.0,0.0,10650484.0,332579.0,175673.5,6504.859325702352,64.94700000000002,4143.769411903954,0.0,35406.2,5318.0,23.0,13.0,51419672.0,National,1761.945976867332,201261.0,5.241000000000001,4369716.999999998,74753998.0,6795525.0,1.5300000000000002,141788637.0,3200944.0,141788637.0,10.0,2.0,5.000000000000001,57.99999999999999,26.0,72.75999999999995,651318.0000000029,1612204.0000000014,0.0,2095.162038594296,1433580.0,2172199.9999999995,2172199.9999999995,1.0109999999999995,-1.5836196000000007,2594149.0,0.0,54618254.0,0.0,54618254.0,2017,10045251.0,73446.3,68377.7,5.763000000000002,8.741999999999997,1.7489999999999997,0.0,2737417.0,0.0,141436265.0,indus_manu,C,258.2904295161028,1525000.0,13747770.000000011,66.34050579999999,1.041999999999999,57.0,16.842,1078.0,44.29500000000001,0.0,16875163.0,0.0,198.05303980000002,144397136.0,81963397.0,142556355.0,144168560.0,2594149.0,2594150.0,2593433.0,146569337.0,3945.5999999999995,59.5,2224.0,13747770.000000011,81963397.0,5918.999999999997,220.40772199999998,Subcontractor,257467.0,0.0,28402274.0,20046928.999999996,14.398970399999996,59.0
0.0,9561842.0,8.563,27.914,30.217,5.238,102.39342500000001,1.159,67.229,52.59,-737315.0,0.9529999999999997,8824527.0,1.378,-255644.60000000012,0.5310000000000001,234.50149100000002,0.255,3.215399999999997,4229935.000000001,13.233000000000002,1.489,103.375,2.584,41.70500000000001,1.126,0.8700000000000002,55298367.00000001,17884548.0,Commerce - réparation d'automobiles et de motocycles ,149084827.99999997,2016.0,1101.0,G,2536.0,1456.0,46.02096299999999,1175.0,140936.9,1420579.1,37679.2,Oui,29239121.000000007,5710.0,58.54267122224567,GE,23.00121737439132,30.995843528104672,92012,92100.0,59.115,80.0,1189.0,28.457,Hors_FR,37.044,1.318,1095.0,24658626.0,COMMERCE ; RÉPARATION D'AUTOMOBILES ET DE MOTOCYCLES,0.0,45.00000000000001,44364.9,2.682999999999999,9.603,Non,22.575859478672484,1002.0,1049.0,0.0,25463414.0,138635.0,134471.8,7780.621561117594,33.661,7749.7434841840495,0.0,20395.3,0.0,23.0,20.0,98044207.0,National,155.46192137351525,760010.0,3.375999999999999,6332627.0,108114093.00000001,74633232.0,1.2380000000000004,341434171.0,26343927.0,341434171.0,135.0,1.0,0.0,20.6,25.0,5070.0,45184957.00000001,9561842.0,0.0,5.44944113588199,8824527.0,4229935.000000001,4229935.000000001,2.5840000000000005,6.060801000000002,14589172.0,2985568.3999999994,146243233.0,2985568.3999999994,801746.9999999999,2016,30917509.999999996,37772.1,27199.7,9.591,11.665,4.792000000000002,0.0,2649899.0,3932513.600000001,89542641.0,tertiaire,G,25.428635797661848,25908000.0,61055447.000000015,41.933685999999994,1.524,18.400000000000002,33.15699999999999,1077.0,12.96,0.0,30300655.0,0.0,126.468977,353183930.0,184138831.0,346765727.0,356327570.0,14589172.0,0.0,0.0,357413866.0,4703.0,344.0,1223.0,61055447.000000015,184138831.0,0.0,234.50149100000002,Contractor,216420.2,0.0,67006523.0,26474801.0,32.273320999999996,82.0
0.0,2272154.999999998,8.893,96.69200000000001,16.035,0.0,70.779559,1.772,5.851999999999999,24.598,392782.99999999965,0.555,2664937.9999999977,0.49499999999999994,-446915.99999999994,0.23099999999999998,140.464672,0.0,1.1879999999999986,1305562.0000000019,12.371000000000002,1.6368,49.78,8.956000000000001,0.1280000000000087,1.4954,0.01999999999999979,5672776.0,0.0,Santé humaine et action sociale ,14952181.999999994,2018.0,1099.0,Q,3433.0,506.99999999999994,34.56084200000001,1175.0,229.1,95293.8,28741.0,Oui,2646158.9999999995,5710.0,58.86348204861046,GE,23.10623281342317,30.038249012818955,06088,6100.0,29.074000000000005,78.0,1191.0,33.76600000000001,FR,19.201,1.4842,1093.0,1547322.0,SANTÉ HUMAINE ET ACTION SOCIALE,3360.000000000002,50.0,29582.6,7.584,12.748,Non,6.686067810916389,1000.0,1047.0,5670.000000000009,129117.00000000006,418659.00000000006,33475.5,6716.416664116027,0.007,6684.751032604727,121392.0,2875.4,27739.0,5.0,13.0,9847664.0,National,156.73605323114603,493581.0,0.7090000000000001,2840004.799999999,72429694.0,37330670.0,4.388000000000001,29673162.0,1157716.0,29673162.0,16.0,1.0,6.0,0.0,25.0,65.30999999999996,3680879.9999999977,2272154.999999998,2031866.0,6.232591135881989,2664937.9999999977,1305562.0000000019,1305562.0000000019,8.980000000000002,12.615091,242860.0,0.0,10365010.0,0.0,10365010.0,2018,93746836.00000001,27456.5,26927.9,6.374,6.373999999999997,5.802999999999999,2516023.0,529544.0,0.0,29673162.0,tertiaire,Q,25.43304037541828,4800000.0,100099466.0,197.91385700000004,1.9759999999999993,1.0,90.832,1075.0,61.513,62171590.0,4813971.0,9074924.0,217.360889,29134957.0,110201971.0,27687040.0,29959195.0,242860.0,618960.0,672753.0,30440520.0,1648.234,270.17,235.88,100099466.0,110201970.0,20833.99999999998,140.464672,Manufacturer,66742.0,6949.0,7300978.0,63140773.00000001,6.083029000000006,4.0
