annee_secteur,FraisPersonnel_secteur,Salaries_tps_plein_secteur,CA_exportation_secteur,CA_hors_taxe_secteur,EBE_secteur,VA_et_autres_prdts_charges_secteur,eges_secteur,energie_secteur,transport_secteur,agri_indusmanu_secteur,autre_secteur
2009,46791.89138925051,189.88570506170612,31188.39501580807,257466.98902733866,24102.65947554398,73256.46271154919,32919.81685226897,0,0,1,0
2009,688972.9729729729,7007.45069393718,326972.97297297296,3990594.5945945946,583459.4594594595,1407567.5675675676,14895.107652760924,1,0,0,0
2009,708246.2623481391,64.81335607542222,1263506.9922469386,3883827.741951066,162595.46409680456,978077.434002367,893.1995545851506,0,0,1,0
2009,1808982.2194972408,3504.769072247883,2206330.4721030043,15857694.665849173,1674724.0956468424,3678372.16431637,16185.904189050238,1,0,0,0
2009,947668.6283386147,2890.3984137943075,305734.11800211255,4547789.346612344,317655.04753282026,1413867.5116945829,5420.13686482537,0,0,0,1
2009,165026.425783274,8.206311566036588,13680.46268560967,618201.9610842714,39230.074564628434,213254.34384607413,16.265454527928625,0,0,0,1
2009,203296.86260798376,7.622055391711148,191008.7580907874,2111623.7858489035,69025.86493608385,318445.37492644734,44.15827306785081,0,0,0,1
2009,668568.9149560118,160.6734032215065,409670.3812316716,2077570.6744868034,186879.76539589444,881055.7184750733,3229.7862802671525,0,1,0,0
2009,111504.58848052264,13.603045366577424,9568.132393679898,334673.4824627101,29967.244475325075,148548.5602909196,18.186966043182814,0,0,0,1
2009,559850.4511185267,99.68947799182274,168923.49524162652,2085960.944259053,343014.4605116796,943515.0166852057,100.63989342435062,0,0,0,1
2009,191752.91426081271,9.535892765072242,437809.1295348077,1229327.813487308,133650.1797581436,347753.0232051422,73.71024853370001,0,0,0,1
2009,71672.58446309446,8.954871705479826,8370.319561007102,467067.46287927695,154061.76027544652,257440.28405422854,50.141888474242094,0,0,0,1
2009,216257.40040861352,9.519825238942037,96202.37465812886,598432.4514853036,52378.90092101227,272841.2347177891,47.562404445376565,0,0,0,1
2009,352779.8628469818,43.67548160960948,78641.4417828435,898683.1269722123,102817.39409265481,473060.58198937465,51.65887070005386,0,0,0,1
2009,74467.94203678177,26.799418848701603,13282.116800591737,189626.1305181051,16193.726254917125,92357.865716303,12.085055041287655,0,0,0,1
2009,63615.00882304545,3.2288828001841092,876.3468620030297,195772.88175984295,64340.99510335162,137564.89619445876,20.476451804833605,0,0,0,1
2009,80699.16539590406,25.01522975727525,9862.757636873432,386287.2415432797,14858.904356666175,95749.91391608048,13.051978841339801,0,0,0,1
2009,55357.89219363945,9.521284924008544,6366.272046388016,153955.31592934983,13420.480410981549,70626.64513421751,10.61954840966043,0,0,0,1
2010,48081.79515019906,177.16401090937336,40264.20557365182,282500.9048136084,29261.672095548314,76456.74990951865,31463.429716185805,0,0,1,0
2010,701213.4583563154,7000.370249917173,437948.1522338665,4154109.211252068,665361.2796469938,1472090.4578047437,15205.21833721623,1,0,0,0
2010,693767.8414968486,60.30999989000949,1337640.7299586409,3999256.663180803,222040.54907059346,1010382.2202123551,929.67196163821,0,0,1,0
2010,836350.9846218079,788.0667950571814,1002143.2050657573,7630735.509011203,894969.0348618747,1814905.0170482222,7358.859827277531,1,0,0,0
2010,554961.0815239656,909.1444614827168,228144.2031954117,2955346.169602622,315198.68906185986,936780.0081933634,2954.9772794776504,0,0,0,1
2010,150415.6821562965,6.471238941018169,11155.596394504244,561414.4132318194,36456.200227531284,193511.2015402118,13.378390567568236,0,0,0,1
2010,186929.39395329633,6.130111071415208,184717.92754354575,1981919.8360630667,74373.38471655121,301093.8814209906,38.92181936184166,0,0,0,1
2010,654080.7174887892,146.69269943091555,447355.3811659193,2158586.322869955,211964.12556053812,902656.9506726457,3161.3671202700093,0,1,0,0
2010,111484.07906087086,12.297235673982401,6707.172236182476,335151.08327395015,32190.25949401376,150289.83151850046,16.57739036195233,0,0,0,1
2010,430171.6226138032,55.81656688466689,147187.04111600586,1626792.4008810571,269762.29809104255,729881.6079295154,67.30105837913344,0,0,0,1
2010,159423.44848906406,20.50344479363687,154297.85918540845,675644.1765205967,116959.57956565423,292027.20457531494,70.89194966028451,0,0,0,1
2010,75605.01383079657,9.594948598912227,4373.738858524982,515628.8001282857,167149.51959696924,275653.7891037377,46.00701839448733,0,0,0,1
2010,177924.97132381058,5.5795594736916385,76089.69519906669,512204.29211478314,51502.436250624996,233801.87449142657,43.566980637227196,0,0,0,1
2010,317689.79646023037,31.544136833428176,73723.2752222162,801754.798843812,94392.24702354013,426046.81475044804,42.92582466054555,0,0,0,1
2010,51952.30460016712,12.18720173647935,6957.837447212123,132778.16670806895,11729.635735416996,64446.37654976175,8.325745863632028,0,0,0,1
2010,60966.55475206612,2.8300610482740214,716.6838842975206,189250.27978650137,64646.28529614324,132679.60141184574,15.776009548602604,0,0,0,1
2010,68415.57414849462,16.232147874072,7327.22840766849,361996.17893141846,25390.34191975756,106555.10903221557,12.110487843573438,0,0,0,1
2010,45983.445839756925,5.975423408487264,3270.918461530786,128019.33813294217,13024.801305174296,60296.95708790469,8.274983207728997,0,0,0,1
2011,51407.79414506805,192.40819297310955,44117.09863882155,314171.1728510163,25414.87973149357,77139.66063770278,32111.657820349054,0,0,1,0
2011,737611.6071428572,7161.665935905613,427734.375,4498158.482142857,703292.4107142857,1553962.0535714284,12771.50194218682,1,0,0,0
2011,719641.2525724886,62.4981387712411,1481787.2636450592,4347669.542700895,223771.72726306535,1040493.144861303,923.7179784388603,0,0,1,0
