y_true,y_filiere,y_ratio_test,y_ratio_predict
7.600946958551987,3.664963006183712,-8.034991324316984,-10.947631182143368
8.401202508535524,8.120673013897282,-10.575694459603914,-11.947982530645618
8.66185614186958,8.120673013897282,-10.786891511000045,-10.192301264915272
8.589639984575825,8.120673013897282,-7.028549224426408,-12.080227890128526
3.9569963710708773,8.120673013897282,-11.872894100646942,-11.702743939792981
7.891330757661889,8.120673013897282,-7.744607525207123,-10.947497072428405
5.480638923341991,6.6938815570670895,-10.252882151736975,-10.19237023270557
8.383513673535996,8.120673013897282,-10.870132564579116,-12.080373921152272
6.21696531799587,3.664963006183712,-9.440644617218904,-10.570016495983737
7.852882221994669,3.664963006183712,-7.5598086895433925,-12.080532167779552
0.0,3.664963006183712,-15.461218334779602,-12.08052566990932
7.3933611822607945,8.120673013897282,-11.581122267031345,-10.815112888170916
8.98860720060843,3.664963006183712,-10.464059600285257,-10.57001981701842
6.504288173536645,3.664963006183712,-8.697050936972342,-11.702884396534387
8.150554487962744,8.069522851389848,-10.83762901944038,-11.192784157375172
-1.0106014113453965,7.541386572896199,-19.952063264357932,-12.325678138764601
0.6658273699049824,2.489354761238092,-14.76010490885193,-12.080519355248043
5.776813705427159,8.120673013897282,-9.768983429647065,-11.325175601487786
4.55850825552186,3.664963006183712,-11.66100963739397,-10.570001265444034
-0.3011050927839216,6.6938815570670895,-15.86909684254241,-12.080414374495376
3.784189633918261,6.6938815570670895,-11.833999575083954,-12.080438516133881
8.537424824715396,8.120673013897282,-10.404037028297138,-12.325645206839226
7.413970290190444,8.120673013897282,-8.2219679926788,-10.94751177704552
4.890349143259348,6.6938815570670895,-11.12208235616217,-11.70276669771954
-1.0216512475319814,3.664963006183712,-16.447583526288895,-12.080504114936957
-3.2266560096676367,3.664963006183712,-18.794647759426123,-12.080522654573883
1.1631508098056809,3.664963006183712,-14.262781468951232,-12.080503821078196
4.181439269073034,3.664963006183712,-11.386552480685452,-12.080503080920266
1.7334238922150915,3.664963006183712,-14.486094000700739,-10.569995962345843
5.968707559985366,6.6938815570670895,-9.861182911732454,-11.702805373968658
8.185350223178686,3.664963006183712,-7.957196884217454,-9.814759317359972
7.387090235656757,8.120673013897282,-7.661271576316548,-10.5699540139791
6.365521332515601,2.489354761238092,-9.252667876486614,-12.080496105707425
3.2320289421131134,6.775283826805798,-12.335962807645375,-12.080488674616731
3.7828023083907083,8.120673013897282,-15.204321954657487,-11.570410035344594
5.047031509287547,3.664963006183712,-13.252094661103662,-14.82313560158832
7.774088581698074,8.120673013897282,-11.202808386441365,-11.948005294540849
6.361302477572996,8.120673013897282,-7.7546158539025685,-11.324247223555517
8.247220052745229,8.120673013897282,-10.72726339654691,-10.815112326218127
7.124478262493424,2.489354761238092,-8.667619673555114,-10.192391717753253
-0.37106368139083207,3.664963006183712,-16.20095415310865,-11.702891258724435
