annee,CO2,CO2e,CH4,N2O,HFC,PFC,SF6,NF3,Gaz_fluores,secteur,total_ges
1990,78.1012703399453,70.43789615249149,6681.623292425396,475.8643483717582,0.0,0.0,505.88654665666405,0.0,505.88654665666405,energie,156.70842722654726
1991,79.38530390526505,72.04505572694063,6333.413977217539,497.78586353359947,0.0,0.0,509.04833757326827,0.0,509.04833757326827,energie,159.27965614810336
1992,80.63971585109452,73.13422331437611,6475.482733404968,517.799674823553,0.0,0.0,512.2101284898723,0.0,512.2101284898723,energie,161.7916418306789
1993,68.32893250597151,60.66799711447311,6636.586664417923,508.9768076739839,0.0,0.0,515.3719194064765,0.0,515.3719194064765,energie,137.1732369313495
1994,65.22400156425255,57.54237233446661,6708.5261634190465,454.5693560438043,0.0,0.0,518.5337103230805,0.0,518.5337103230805,energie,130.96653683882818
1995,67.76534181564867,60.18754771050382,6601.261136008976,454.6082915334176,0.2291763627687089,0.0,521.6955012396847,0.0,521.9246776024535,energie,136.05260830889978
1996,71.49930844657867,65.12840498092437,5353.023278637459,515.3153180425496,1.0345675804987433,0.0,501.5303013937872,0.0,502.56486897428596,energie,143.5011817621316
1997,67.19653074695077,61.43075331661354,4758.7536507314435,524.0997673411339,1.8399587982287775,0.0,481.08405346641376,0.0,482.92401226464256,energie,134.87598550616616
1998,79.56694152971974,73.85882210336679,4672.817194175745,572.3001247036855,2.6453500159588117,0.0,460.35675745756424,0.0,463.00210747352304,energie,159.596885166913
1999,72.63485281143838,67.14541869103695,4493.90438669414,544.4048008431744,3.450741233688846,0.0,447.67419163041785,0.0,451.1249328641067,energie,145.72083055574086
2000,71.36627242197724,66.7809750492968,3575.3879091613535,570.661705264389,4.25613245141888,0.0,434.9916258032713,0.0,439.24775825469015,energie,143.17179260220917
2001,64.49340902057413,60.159993761667494,3347.1080215789707,558.5293745462859,5.4688028052693065,0.0,422.3090599761247,0.0,427.777862781394,energie,129.41459590392967
2002,67.05617957780157,63.31398742484935,2756.773181767075,569.2262468480524,6.5662301881274665,0.0,409.62649414897817,0.0,416.19272433710563,energie,134.52855187994027
2003,70.49982819995452,66.7995499827909,2675.647797008454,620.1380772333398,7.548414599993361,0.0,396.9439283218317,0.0,404.49234292182507,energie,141.40414874283087
2004,69.09750710679539,65.87721819801015,2193.155059344303,634.5881464484406,8.284340497799377,0.0,384.26136249468516,0.0,392.5457029924845,energie,138.58755991658325
2005,74.22996623313976,71.34968979711059,1863.607789614889,635.970248926204,9.119600820527332,0.0,371.5787966675387,0.0,380.69839748806606,energie,148.8406308637676
2006,70.07390333429531,67.43790259310697,1752.0152044042056,509.0110218120449,10.978747514185661,0.0,363.99576745789597,0.0,374.97451497208164,energie,140.5227811835627
2007,69.59551388570475,67.2636185049975,1521.807373381855,443.043304181479,10.631964895672484,0.0,356.41273824825333,0.0,367.0447031439258,energie,139.55807247455346
2008,68.66597954261908,66.35346042323809,1512.1865896585427,442.0027473921966,10.192808189333206,0.0,348.13697414093144,0.0,358.32978233026466,energie,137.69028886756846
