id,organization_name,staff,reporting_year,total_scope_1,total_scope_2,total_scope_3,action_plan,assessment_id,legal_unit_id,evolution_scope_1
5297.0,paul grandjouan saco,1076.0,2018.0,16691.0,107.0,0.0,Oui,5297.0,867800518,
162.0,systeme u ouest,2516.0,2015.0,3328.0,2067.0,0.0,Oui,162.0,867800427,-804.0
7040.0,salaisons celtiques,600.0,2020.0,6170.0,1167.1,0.0,Oui,7040.0,862500279,
5382.0,manitou bf,2400.0,2019.0,6568.0,1018.0,0.0,Oui,5382.0,857802508,
1223.0,armor,740.0,2016.0,29546.0,1288.0,0.0,Oui,1223.0,857800692,
4216.0,banque populaire grand ouest,3226.0,2018.0,1268.0,734.0,27969.0,Oui,4216.0,857500227,805.6
7285.0,centre specialites pharmaceutiques,1227.0,2020.0,803.91,592.0,41.92,Oui,7285.0,857200521,366.28
4401.0,sa compagnie petroliere de l'ouest,671.0,2018.0,7644.0,63.0,0.0,Oui,4401.0,856802400,
5629.0,trouillard,1123.0,2019.0,5099.0,290.0,1463.0,Oui,5629.0,855802369,
4287.0,banque cic ouest,2472.0,2018.0,1381.0,528.0,1879.0,Oui,4287.0,855801072,
4462.0,manufacture francaise des pneumatiques michelin,18870.0,2018.0,127830.0,2198.0,0.0,Oui,4462.0,855200507,
2271.0,axima concept,5530.0,2016.0,19107.0,337.0,0.0,Oui,2271.0,854800745,
5348.0,green motion solutions,1.0,2020.0,0.5,7.0,0.0,Oui,5348.0,853126175,
7256.0,epsa,100.0,2019.0,4368.0,1133.0,0.0,Oui,7256.0,852389865,
6484.0,unite consulting,4.0,2020.0,1e-10,0.03969,5.623049999999999,Oui,6484.0,851386961,
5117.0,ratp dev angers,630.0,2019.0,8729.0,186.0,0.0,Oui,5117.0,849726161,
6741.0,again,42.0,2020.0,8.892,7.17,1109.631,Oui,6741.0,847845849,-5.1080000000000005
6699.0,sas lafis site de bologne,570.0,2020.0,5153.752780000001,2155.52,0.0,Oui,6699.0,845420280,-2168.64722
5908.0,vyv3 pays de la loire - pole services et biens medicaux,790.0,2019.0,1909.0,79.0,0.0,Oui,5908.0,844881417,
5231.0,sarl grapes & co,2.0,2019.0,8.9,2.0,0.0,Oui,5231.0,843802265,
4778.0,phytocontrol group,10.0,2018.0,11.567,0.149,0.0,Oui,4778.0,838612562,
6225.0,aptiskills,650.0,2019.0,355.84,11.94,294.1,Oui,6225.0,838391514,
6721.0,mobeetip,3.0,2020.0,3.0,0.2,3.0,Oui,6721.0,837905660,
7323.0,sas aurelie fabre,9.0,2020.0,2.6,0.7,22.6,Oui,7323.0,834242018,
6445.0,socotec construction,1314.0,2020.0,3320.031,1e-07,363.0,Oui,6445.0,834157513,
6497.0,socotec equipements,1659.0,2020.0,4824.262,1e-07,261.0,Oui,6497.0,834096695,
5954.0,bdr thermea france,1109.0,2019.0,5755.0,788.0,0.0,Oui,5954.0,833457211,
3958.0,be nat',2.0,2019.0,1253.4,11.42,869.5,Oui,3958.0,832454060,
7093.0,decor world services,7.0,2020.0,0.0975744,0.1682305,17.3095097525,Oui,7093.0,832345540,
3234.0,auchan hypermarches logistique sas,1387.0,2017.0,10116.0,3989.0,189698.0,Oui,3234.0,832235402,
3235.0,auchan retail services sas,1860.0,2017.0,2015.0,391.0,1041.0,Oui,3235.0,831888318,
3712.0,compagnie lampaulaise de salaison,555.0,2018.0,3584.0,965.0,0.0,Oui,3712.0,829335108,
3713.0,compagnie madrange,544.0,2018.0,6969.0,1427.0,0.0,Oui,3713.0,829323211,
7453.0,welyb,9.0,2020.0,0.0,0.2,16.9,Oui,7453.0,828902387,
7490.0,bitwip,7.0,2020.0,1.9,0.8,44.29999999999999,Oui,7490.0,827688011,
6853.0,axeleo capital,8.0,2020.0,1.98,1.37,27.8,Oui,6853.0,824690002,1.1099999999999999
7342.0,sonepar france distribution sas,4500.0,2020.0,11602.0,1215.0,71733.0,Oui,7342.0,824484653,
6706.0,luko,100.0,2020.0,0.001,25.33,1392.1,Oui,6706.0,824274534,
3217.0,transpole sa,2642.0,2016.0,45290.0,4654.0,22834.0,Oui,3217.0,824164792,
5788.0,keolis caen mobilites,707.0,2019.0,10470.0,73.0,0.0,Oui,5788.0,824085732,
4701.0,strasbourg electricite reseaux sa,498.0,2018.0,855.0,9122.0,2076.0,Oui,4701.0,823982954,
3387.0,carrefour support,1553.0,2018.0,643.0,295.0,0.0,Oui,3387.0,823463377,
5657.0,x-fab france,950.0,2019.0,69280.0,10288.0,0.0,Oui,5657.0,822947636,-20009.0
5785.0,commerce de gros,696.0,2019.0,692.797,138.568,0.0,Oui,5785.0,820724508,
4413.0,ugecam occitanie,1200.0,2018.0,1180.0,166.0,0.0,Oui,4413.0,820402915,
6899.0,cat-amania,602.0,2021.0,130.28,4.76,96.4,Oui,6899.0,820363331,
6545.0,foxintelligence sas,50.0,2020.0,0.0001,16223.0,331010.0,Oui,6545.0,820039311,
6733.0,gt menuiserie sas,1.0,2020.0,7.85,0.243,45.12,Oui,6733.0,818706590,
6924.0,la fournee doree,1200.0,2020.0,7206.6,2377.0,0.0,Oui,6924.0,817390941,
6674.0,grenoble ecole de management,972.0,2020.0,97.09,253.72,11755.63,Oui,6674.0,817389141,-147.87
3179.0,keolis dijon mobilites,713.0,2017.0,7496.0,356.0,2087.0,Oui,3179.0,815371661,
7349.0,saint gobain pam canalisation,1700.0,2019.0,464056.0,12633.0,0.0,Oui,7349.0,815145347,
6509.0,813 928 942,9.0,2015.0,5.0,235.0,45252.0,Oui,6509.0,813928942,
7182.0,valtex,35.0,2020.0,5.7,1.0,5526.202,Oui,7182.0,813603347,
2211.0,mutualite francaise grand sud,744.0,2016.0,555.7,323.8,0.0,Oui,2211.0,813179793,
7231.0,in situ training,34.0,2021.0,0.0,0.2,64.49999999999999,Oui,7231.0,813123486,
3795.0,bpce infogerance et technologies,1226.0,2018.0,550.0,821.0,10424.0,Oui,3795.0,812773711,
6502.0,sante cie,1900.0,2020.0,7345.63,65.42,1954.92,Oui,6502.0,812164739,
249.0,nxto france,1681.0,2014.0,3151.3,219.4,0.0,Oui,249.0,811934363,
2762.0,philips france commercial,850.0,2016.0,2474.0,216.0,695.0,Oui,2762.0,811847243,
5444.0,siemens healthcare sas,880.0,2019.0,0.66,72.49000000000001,4509.959999999999,Oui,5444.0,810794800,-0.04999999999999993
5886.0,cbre gws france,417.0,2019.0,429.94,11.02,111.71,Oui,5886.0,809872807,
4885.0,scop nymphalis,3.0,2018.0,,,,Oui,4885.0,808809909,
3942.0,alten technologies,685.0,2018.0,4.345,0.83,0.0,Oui,3942.0,808630826,
1226.0,mondelez france sas,2101.0,2015.0,4926.0,80.0,0.0,Oui,1226.0,808234801,
3998.0,keolis bordeaux metropole,2607.0,2018.0,30385.0,2844.0,6997.0,Oui,3998.0,808227052,934.0
5161.0,wenow sas,5.0,2019.0,0.0001,0.162,215.277,Oui,5161.0,808051502,
3484.0,sas groupe nice matin,646.0,2018.0,1502.0,408.0,295.0,Oui,3484.0,807856596,
5724.0,constellium neuf-brisach,1500.0,2019.0,121289.7,26741.0,0.0,Oui,5724.0,807641360,5954.699999999997
4898.0,iss,1750.0,2018.0,41.0,20.0,7989.0,Oui,4898.0,805020740,
6056.0,societe d'exploitation des ports du detroit,625.0,2019.0,1547.0,697.0,0.0,Oui,6056.0,804834711,-211.0
5951.0,groupe nice matin,821.0,2019.0,567.3000000000001,246.8,14521.6,Oui,5951.0,804790350,89.30000000000007
2974.0,a votre bonheur,5.0,2018.0,100.0,1500.0,198148.0,Oui,2974.0,804153468,
7405.0,lunii,76.0,2020.0,0.0,17.34,8619.630000000001,Oui,7405.0,802801472,
6884.0,interstis,10.0,2020.0,0.0,2.11,20.25,Oui,6884.0,802523936,
2946.0,fondation ove,1800.0,2017.0,1478.0,360.0,0.0,Oui,2946.0,801252719,
4549.0,brandt france,954.0,2018.0,7342.51,1230.96,0.0,Oui,4549.0,801250531,4177.76
2351.0,fareva amboise,526.0,2015.0,2905.0,912.0,24853.0,Oui,2351.0,799995386,
5885.0,samsic surete aeroportuaire,738.0,2019.0,54.0,3.0,0.0,Oui,5885.0,797904968,
6675.0,armatis poitiers,652.0,2020.0,112.045,8.37,0.0,Oui,6675.0,797897923,
6672.0,armatis touraine,696.0,2020.0,41.91999999999999,5.57,0.0,Oui,6672.0,797896412,
4491.0,societe anonyme des eaux minerales d'evian,2096.0,2018.0,4337.0,1512.0,0.0,Oui,4491.0,797080850,-2941.0
7185.0,m.t.a. - messageries et transports de l'atlantique,666.0,2019.0,23126.68,110.43,0.0,Oui,7185.0,795329580,5889.040000000001
5947.0,or du monde sas,15.0,2020.0,0.3462,1.11031,151.19185,Oui,5947.0,795316785,
5102.0,urssaf,445.0,2018.0,320.574,61.353,1476.539,Oui,5102.0,795120039,
3233.0,urssaf rhone alpes,1554.0,2018.0,882.0,276.0,0.0,Oui,3233.0,794846501,
4382.0,iserba,642.0,2018.0,2718.0,33.0,0.0,Oui,4382.0,793797283,
3499.0,aspen notre dame de bondeville,750.0,2018.0,2520.5,807.0,0.0,Oui,3499.0,793618828,-943.5500000000002
6900.0,flexilivre,4.0,2020.0,0.0,0.36,347.81,Oui,6900.0,792345530,
3875.0,sealynx international,587.0,2018.0,2793.0,940.0,858.0,Oui,3875.0,791567092,
